il,ad,tur,mutfak,telefon,website,instagram,saatler,bahce,wifi,adres,ilce,mahalle,lat,lon,harita,osm_id
Adana,Eymen Kebap Salonu,fast_food,kebab,,,,,,,,,,37.0346050,35.2619404,"https://www.google.com/maps/search/?api=1&query=37.0346050,35.2619404",node/6838335099
Adana,Eyvan Kebap,restaurant,turkish,,,,,yes,,,,,37.0421511,35.3140315,"https://www.google.com/maps/search/?api=1&query=37.0421511,35.3140315",node/11422509468
Adana,Ezgi Türkü Evi,bar,,,,,,,,,,,36.9889438,35.3242946,"https://www.google.com/maps/search/?api=1&query=36.9889438,35.3242946",node/4567566806
Adana,Friends,restaurant,,,,,,,,,,,37.0500414,35.3558476,"https://www.google.com/maps/search/?api=1&query=37.0500414,35.3558476",way/50215116
Adana,Fırat Döner,fast_food,,,,,,,,,,,37.0488802,35.2824927,"https://www.google.com/maps/search/?api=1&query=37.0488802,35.2824927",node/7417407984
Adana,Garfield Cafe & Nargile,cafe,,,,,,,,,,,37.0284560,35.3138471,"https://www.google.com/maps/search/?api=1&query=37.0284560,35.3138471",node/7418471302
Adana,Garlic Döner,restaurant,turkish,+903222311010,,,Mo-Su 11:00-10:00,,,Turgut Özal Bulvarı 46/D,Çukurova,Güzelyalı Mahallesi,37.0417695,35.3139586,"https://www.google.com/maps/search/?api=1&query=37.0417695,35.3139586",node/12623943713
Adana,Gökduman Lahmacun,restaurant,,,,,,,,,,,36.9696607,35.3188122,"https://www.google.com/maps/search/?api=1&query=36.9696607,35.3188122",node/7903234423
Adana,Gökçeli Cafe,cafe,,,,,,,,,,,36.9916328,35.3257079,"https://www.google.com/maps/search/?api=1&query=36.9916328,35.3257079",node/4567459879
Adana,Günay Kebap,restaurant,,,,,,,,Cumhuriyet Caddesi,,,36.9948872,35.3157593,"https://www.google.com/maps/search/?api=1&query=36.9948872,35.3157593",node/3726108349
Adana,Güney Marina,restaurant,turkish,,,,,,,,,,37.0647061,35.2995592,"https://www.google.com/maps/search/?api=1&query=37.0647061,35.2995592",way/1087445874
