mekan,il,tur,website,kaynak,kategori,kalem,fiyat
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,GW ELMALI TURTA,180.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,GW ATOM BEZE,70.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,ARTİZAN ELMALI TART,315.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,RUBY ORMAN MEYVELİ PASTA,345.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,"ATIŞTIRMALIKLAR, Menü",MATCHA COOKİE (BARDAK),290.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,MATCHA BLONDİE,310.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,MANGO PASSION PASTA,330.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,"ATIŞTIRMALIKLAR, Menü",CO-HURMA TOPLARI (BARDAK),300.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,"HOT-ICE DRINK, İçecekler",ICE CAPPUCCINO,210.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,"ALTERNATİFLER, İçecekler",COLOMBIA PİNK BOURBON (S),300.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,"ATIŞTIRMALIKLAR, Menü",LABNELİ ISPANAKLI POĞAÇA,75.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,YULAFLI PİNK MATCHA LATTE (S),275.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,YULAFLI PİNK MATCHA LATTE (M),285.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,YULAFLI PİNK MATCHA LATTE (L),295.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,YULAFLI MATCHA LATTE (S),275.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,YULAFLI MATCHA LATTE (M),285.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,YULAFLI MATCHA LATTE (L),295.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,YULAFLI BLUE MATCHA LATTE (S),275.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,YULAFLI BLUE MATCHA LATTE (M),285.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,YULAFLI BLUE MATCHA LATTE (L),295.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,PİNK MATCHA LATTE (S),260.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,PİNK MATCHA LATTE (M),275.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,PİNK MATCHA LATTE (L),290.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,MATCHA LATTE (S),260.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,MATCHA LATTE (M),275.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,MATCHA LATTE (L),290.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,BLUE MATCHA LATTE (S),260.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,BLUE MATCHA LATTE (M),275.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,BLUE MATCHA LATTE (L),290.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,BADEMLİ PİNK MATCHA LATTE (S),275.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,BADEMLİ PİNK MATCHA LATTE (M),285.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,BADEMLİ PİNK MATCHA LATTE (L),295.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,BADEMLİ MATCHA LATTE (S),275.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,BADEMLİ MATCHA LATTE (M),285.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,BADEMLİ MATCHA LATTE (L),295.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,BADEMLİ BLUE MATCHA LATTE (S),275.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,BADEMLİ BLUE MATCHA LATTE (M),285.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,BADEMLİ BLUE MATCHA LATTE (L),295.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,ICE yulaflı pink matcha latte (S),275.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,ICE yulaflı pink matcha latte (M),285.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,ICE yulaflı pink matcha latte (L),295.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,ICE yulaflı matcha latte (S),275.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,ICE yulaflı matcha latte (M),285.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,ICE yulaflı matcha latte (L),295.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,ICE yulaflı blue matcha latte (S),275.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,ICE yulaflı blue matcha latte (M),285.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,ICE yulaflı blue matcha latte (L),295.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,ICE pink matcha latte (S),260.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,ICE pink matcha latte (M),275.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,ICE pink matcha latte (L),290.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,ICE matcha latte (S),260.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,ICE matcha latte (M),275.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,ICE matcha latte (L),290.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,ICE blue matcha latte (S),260.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,ICE blue matcha latte (M),275.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,ICE blue matcha latte (L),290.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,ICE Bademli pink matcha latte (S),275.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,ICE Bademli pink matcha latte (M),285.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,ICE Bademli pink matcha latte (L),295.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,ICE Bademli matcha latte (S),275.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,ICE Bademli matcha latte (M),285.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,ICE Bademli matcha latte (L),295.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,ICE Bademli blue matcha latte (S),275.00
Greenwich Coffee,,cafe,https://greenwichcoffee.com,woo,Menü,ICE Bademli blue matcha latte (M),285.00
