mekan_id,il,mekan_ad,adres,yazar,lisans,kaynak_bag
way/1051235983,48,Fethiye Müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Fethiye_Archaeological_Museum_-_2.jpg/1280px-Fethiye_Archaeological_Museum_-_2.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Harald the Bard,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Fethiye_Archaeological_Museum_-_2.jpg
way/1211500967,48,Bodrum Antik Tiyatrosu,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/The_theatre_of_ancient_Halicarnassus%2C_built_in_the_4th_century_BC_during_the_reign_of_King_Mausolos_and_enlarged_in_the_2nd_century_AD%2C_the_original_capacity_of_the_theatre_was_10%2C000%2C_Bodrum%2C_Turkey_%2816456817694%29.jpg/1280px-thumbnail.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,"Carole Raddato from FRANKFURT, Germany",CC BY-SA 2.0,"https://commons.wikimedia.org/wiki/File:The_theatre_of_ancient_Halicarnassus,_built_in_the_4th_century_BC_during_the_reign_of_King_Mausolos_and_enlarged_in_the_2nd_century_AD,_the_original_capacity_of_the_theatre_was_10,000,_Bodrum,_Turkey_(16456817694).jpg"
relation/9685368,48,Muğla Müzesi,https://upload.wikimedia.org/wikipedia/commons/2/2a/Mus%C3%A9e_de_Mu%C4%9Fla_%282841791957%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,mwanasimba from La Réunion,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Mus%C3%A9e_de_Mu%C4%9Fla_(2841791957).jpg
way/26045752,50,Göreme Açık Hava Müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/G%C3%B6reme_Valley_in_Cappadocia_edit1.jpg/1280px-G%C3%B6reme_Valley_in_Cappadocia_edit1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Brocken Inaglory,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:G%C3%B6reme_Valley_in_Cappadocia_edit1.jpg
way/233586090,50,Nevşehir Müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Nev%C5%9Fehir_museum_in_2019_1556.jpg/1280px-Nev%C5%9Fehir_museum_in_2019_1556.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Dosseman,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Nev%C5%9Fehir_museum_in_2019_1556.jpg
way/1223946040,53,Rize Atatürk Evi Müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Rize_Atat%C3%BCrk_House_and_Ethnography_museum_in_2006_4586.jpg/1280px-Rize_Atat%C3%BCrk_House_and_Ethnography_museum_in_2006_4586.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Dosseman,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Rize_Atat%C3%BCrk_House_and_Ethnography_museum_in_2006_4586.jpg
way/824625647,54,Deprem Müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/TR_Sakarya_asv2021-10_img08_Earthquake_Museum.jpg/1280px-TR_Sakarya_asv2021-10_img08_Earthquake_Museum.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,A.Savin,FAL,https://commons.wikimedia.org/wiki/File:TR_Sakarya_asv2021-10_img08_Earthquake_Museum.jpg
way/1041058392,54,Sakarya Uçak Cafe,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/TR_Sakarya_asv2021-10_img16_Urban_Park.jpg/1280px-TR_Sakarya_asv2021-10_img16_Urban_Park.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,A.Savin,FAL,https://commons.wikimedia.org/wiki/File:TR_Sakarya_asv2021-10_img16_Urban_Park.jpg
way/229763876,57,Sinop Arkeoloji Müzesi,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Sinop_Museum_entrance.jpg/1280px-Sinop_Museum_entrance.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Robot8A,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Sinop_Museum_entrance.jpg
relation/11763662,57,Tarihî Sinop Cezaevi,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Sinop_Tarihi_Cezaevi_1.JPG/1280px-Sinop_Tarihi_Cezaevi_1.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Basak,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Sinop_Tarihi_Cezaevi_1.JPG
