mekan,il,website,tur,kaynak_url,kalem_sayisi,not
CebeliTeyirtepe Restaurant,,https://www.facebook.com,menu bulunamadi,,0,
chefyunuskalkan,,https://chefyunuskalkan.com,erisilemedi,,0,Page.goto: net::ERR_NAME_NOT_RESOLVED at https://chefyunuska
Carmelo,,https://coffeecarmelo.com,menu bulunamadi,,0,
Chicken stop,,https://chickenstop.com.tr,erisilemedi,,0,Page.goto: net::ERR_CERT_AUTHORITY_INVALID at https://chicke
Caglayan Restaurant,,http://www.caglayanrestaurant.com,gorsel-ocr-gerekli,http://www.caglayanrestaurant.com/wp-content/themes/restaurant-lite/images/menu1.jpg,0,
Can Ciğer Cafe,,https://cancigerocakbasi.com,gorsel-ocr-gerekli,https://cancigerocakbasi.com/images/menu resimleri/ciger-kebap/ciger-kebap-1.jpg,0,
Cihan Kebap Restaurant,,https://www.sidecihan.com,erisilemedi,,0,Page.goto: net::ERR_CERT_AUTHORITY_INVALID at https://www.si
Chemex,,https://www.chemexcoffee.com.tr,menu bulunamadi,,0,
Demre Bungalow & Cafe & Zühre,,https://zuhrebungalov.com.tr,erisilemedi,,0,Page.goto: net::ERR_NAME_NOT_RESOLVED at https://zuhrebungal
Doğa sofrası,,https://dogasofrasi.com,erisilemedi,,0,Page.goto: net::ERR_NAME_NOT_RESOLVED at https://dogasofrasi
By Marrakech Cafe,,https://allzinapp.com,menu bulunamadi,,0,
Conny's Restaurant - Bar,,https://connys.wixsite.com,menu bulunamadi,,0,
Chatme,,https://chatme.com.tr,menu bulunamadi,,0,
Dükkan Pub,,https://www.dukkanpup.com,erisilemedi,,0,Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.dukkanp
Etbaz,,http://www.etbazalanya.com,erisilemedi,,0,Page.goto: net::ERR_NAME_NOT_RESOLVED at http://www.etbazala
D La Plaza,,https://www.dlaplaza.com,menu bulunamadi,,0,
Elmalı Sultan Sofrası,,https://www.sultansofrasi.net,menu bulunamadi,,0,
Dımçayı Pınarbaşı,,https://dimcayipinarbasi.com,menu bulunamadi,,0,
Feneraltı Cafe & Restaurant,,https://feneralti.com,erisilemedi,,0,Page.goto: net::ERR_NAME_NOT_RESOLVED at https://feneralti.c
Finike 2000,,http://www.hotelfinike2000.com,erisilemedi,,0,Page.goto: net::ERR_NAME_NOT_RESOLVED at http://www.hotelfin
Dospresso,,https://www.dospresso.net,menu bulunamadi,,0,
Eterna House,,https://eternahouse.com.tr,menu bulunamadi,,0,
Fener Restaurant Lara,,http://www.fener1945.com,gorsel-ocr-gerekli,http://www.fener1945.com/images/special-menu-1.jpg,0,
Forellenhof Göynük Fish & Steak House,,https://www.facebook.com,menu bulunamadi,,0,
Gardenia Restaurant,,http://www.restaurantgardenia.com,menu bulunamadi,,0,
Dürümle,,https://www.durumle.com,pdf-ocr-gerekli,https://www.durumle.com/storage/downloads/genel-aydinlatma-metni.pdf?d=2025-08-01,0,
Flamingo lara,,https://qr.finedinemenu.com,menu bulunamadi,,0,
